nodeA,nodeB,weight
White Walkers,White Walkers,1
Stark,Stark,6
Jon Arryn,Robert,2
Ned,Stark,2
Dothraki,Khal Drogo,1
Ned,Ranger,1
Kings Landing,Ned,1
Grace,Magister Illyrio,1
Robert,Robert,6
Aleena,Meryl,1
Daenerys Targaryen,Dothraki,1
Dothraki,Robert,3
Moon,Moon,1
Dothraki,Khal,1
Ned,robert Quiet,1
Stark,the Mad King,1
Lady Catelyn,Stark,1
Baelish,Brandon,1
Seize Winterfell,Warden,1
Seize Winterfell,Uncle Kevan,1
Uncle Kevan,Warden,1
Darling,Joffrey,1
Ned Stark's,Snow,1
Bran,Ser Rodrik,1
Tarly,Tarlys,1
Lancel Lannister,Tarly,1
Lancel Lannister,Tarlys,1
Jaime Lannister,Kingslayer,3
Jorah the Andal,Khal Bharbo,1
Ahhh,Westeros,1
Hodor,Kneel,1
Sam,Sam,2
Jon Arryn's,Vale,2
Ser Hugh,Ser Hugh,2
Sam,Thorne,1
Lady Piggy,Thorne,1
Hush,Irri,1
Ros,Young,1
Ros,Snow,1
Eastwatch,Mance Rayder,2
Mance Rayder,Mance Rayder,2
Ser Hugh,Vale,1
Jon Arryn's,Ser Hugh,1
Hound,Hound,4
Gregor,Hound,8
Gregor,Gregor,6
Hoster Tully,Lady Whent,1
Cersei,Jon Arryn,1
Cersei,Cersei Lannister,1
Cersei,King,1
Cersei Lannister,Jon Arryn,1
Jon Arryn,King,1
Cersei Lannister,King,1
Lady Stark,Vale,2
Jon Arryn,Lys,1
Stark,Starks,2
Arya Stark,Winterfell,2
Lady Arryn,Vale,2
Robin,Vale,2
Jon Arryn,Vale,3
Loras Tyrell,the Knight of the,1
Joffrey,Robert,6
Dothraki,Viserys Targaryen,4
Viserys Targaryen,Viserys Targaryen,1
Dothraki,Dothraki,6
Starks,Threaten,1
Brandon Stark,Winterfell,1
Benjen Stark's,Mance,1
Lady Arryn,Lannister,1
Imp,Speak,1
Bran,Jon Arryn,1
Westeros,the Mad King,1
Hand,Taller,1
Jaime Lannister,Stark,2
Jaime Lannister,Steffon,1
Stark,Steffon,1
Axel Baratheon,Orys Baratheon,1
Orys Baratheon,Robert Baratheon,1
Joffrey Baratheon,Orys Baratheon,1
Axel Baratheon,Robert Baratheon,1
