nodeA,nodeB,weight
mordane,quite,1
bran,stark,25
bran,snow,7
cassel,stark,3
walkers,will,2
stark,warden,4
jon,stark,7
snow,stark,21
greyjoy,snow,7
arryn,lannister,9
lannister,robert,16
arryn,stark,14
ned,stark,7
stark,tommy,1
stark,winterfell,21
lannister,stark,110
baratheon,ned,8
baratheon,stark,21
lannister,mmh,1
ros,winterfell,1
dothraki,illyrio,3
dothraki,viserys,2
drogo,viserys,1
drogo,illyrio,2
joffrey,stark,50
hush,stark,2
lannister,stark's,20
benjen,ned,1
benjen,ranger,1
stark,walkers,1
benjen,stark,5
landing,stark,2
luwin,voice,1
luwin,stark,8
robert,stark,19
mormont,mormont,2
magister,targaryen,1
jorah,targaryen,10
clegane,imp,2
dothraki,mormont,8
grace,mormont,2
illyrio,mormont,1
stark,targaryen,9
lannister,uncle,11
lannister,maester,2
grace,stark,8
lannister,walkers,3
mordane,stark,2
benjen,snow,2
stark,starks,2
baratheon,becca,1
aleena,baratheon,1
baratheon,meryl,1
dothraki,stark,4
baratheon,dothraki,4
rickon,stark,19
doreah,garth,1
irri,moon,2
khal,targaryen,2
cassel,hal,1
doreah,kings,1
doreah,dothraki,2
doreah,khal,1
dothraki,targaryen,22
joffrey,lannister,67
grace,soldier,2
lady,stark,1
ilyn,lannister,2
guard,stark,4
glad,stark,1
king,lannister,3
stark,varys,13
baelish,stark,33
baelish,catelyn,1
brandon,stark,1
baelish,tully,1
pycelle,stark,4
lannister,targaryen,7
lannister,winterfell,5
lannister,warden,3
kevan,lannister,3
lannister,starks,8
hound,stark,10
mycah,stark,2
duncan,nan,1
macumber,stark,1
sally,stark,1
baelish,jaime,1
baelish,imp,1
snow,thorne,8
stark's,thorne,1
lannister,mormont,4
mormont,stark's,1
baelish,starks,2
grenn,lannister,1
lannister,rodrik,2
bran,lannister,2
baelish,queen,1
littlefinger,stark,8
grace,selmy,2
selmy,tyroshi,1
baratheon,tarly,4
baratheon,tarlys,1
baratheon,lannister,14
grace,lannister,5
baratheon,kingslayer,3
selmy,toyne,1
lannister,yoren,2
benjen,lannister,1
lannister,ranger,1
dothraki,rakharo,1
rakharo,vroz,1
bharbo,rakharo,1
andal,rakharo,1
mormont,qohor,1
dothrak,rhakaro,1
aemon,lannister,1
aemon,starks,1
mormont,stark,6
lannister,snow,14
farewell,snow,1
forel,forel,2
forel,westeros,1
kneel,stark,2
hodor,stark,25
greyjoy,lannister,15
greyjoy,imp,2
leg,snow,1
tarly,tarly,1
sam,tarly,8
dothrak,mormont,1
drogo,targaryen,3
mormont,robert,3
doreah,grace,1
mordane,westeros,1
poole's,stark,1
joffrey,mordane,1
hando,slynt,1
ser,slynt,2
jon,pycelle,1
stark,umber,1
sam,snow,26
baelish,vale,11
arryn's,baelish,2
baelish,spider,1
baelish,hugh,1
cassel,hugh,2
ser,vale,1
cassel,greyjoys,1
lannister,thoros,2
rast,thorne,1
piggy,rast,1
hush,targaryen,1
irri,targaryen,2
sally,snow,1
ros,snow,2
snow,tarly,2
rayder,thorne,2
eastwatch,thorne,1
baelish,lover,1
baelish,fingers,1
baelish,hound,3
baelish,gregor,4
lannister,sansa,22
heddle,stark,1
stark,tully,2
stark,whent,1
bracken,stark,1
hugh,stark,3
selmy,stark,1
king,selmy,1
baratheon,hando,1
baratheon,cersei,2
arryn,baratheon,2
baratheon,king,2
baelish,lys,1
baratheon,littlefinger,1
imp,marillion,1
lannister,shadowcat,1
lannister,vale,7
rodrik,stark,5
baratheons,stark,1
luwin,martell,1
dothraki,luwin,1
greyjoy,westeros,6
greyjoy,stark,21
robert,ros,1
arryn,varys,4
lys,varys,2
drogo,mopatis,1
delay,varys,1
redwyne,varys,1
starks,varys,1
stark,stark,18
benjen,yoren,1
egen,stark,1
egen,vale,1
arryn,egen,1
stark,steward,1
steward,targaryen,1
baratheon,honor,1
king,stark,2
mormont,varys,2
baelish,mormont's,1
baratheon,speak,2
dothraki,pycelle,1
baelish,cassel,1
baelish,grace,5
arryn,baelish,3
cassel,heward,1
arryn,robin,1
arryn,vale,4
arryn,mommy,2
arryn,arryn,1
jaime,lannister,15
arryn,shh,1
arryn,vardis,2
stark,tyrell,2
baratheon,robert,15
baratheon,tyrell,1
baratheon,the,1
robert,tyrell,2
joffrey,tyrell,9
dothraki,lannister,19
baratheon,targaryen,3
baelish,robert,2
baelish,lannister,10
lannister,threaten,1
-,stark,1
baratheon,catelyn,1
dancer,stark,1
greyjoy,kingslayer,3
osha,stark's,1
mance,osha,1
dorne,wildling,1
bran,greyjoy,3
lannister,turnkey,1
arryn,speak,1
arryn,imp,1
lannister,robin,2
imp,vardis,2
lannister,lannister,14
arryn,kingslayer,1
barriston,grace,1
baratheon,westeros,5
grace,man,1
hand,man,1
man,taller,1
pycelle,wel,1
clegane,stark,7
stark,tywin,2
greyjoy,ros,1
lannister,ros,2
ros,stark,1
ros,steffon,1
clegane,lannister,5
kingslayer,lannister,7
greyjoy,greyjoy,16
ranger,tarly,1
benjen's,snow,1
barristan,varys,1
aegon,mormont,1
andal,bird,1
merchant,westeros,1
merchant,sweet,1
merchant,ser,1
mormont,uncle,1
mormont,tarly,2
jon,tarly,2
ranger,snow,3
tarly,wizard,1
catelyn,stark,1
andal,drogo,1
barristan,stark,1
hush,mordane,1
stark,trant,3
forel,lannister,1
bloody,trant,1
sansa,stark,5
flowers,yarwyck,1
benjen,mormont,1
snow,yarwyck,1
aemon,mormont,1
aemon,alliser,1
mormont,snow,6
joffrey,pycelle,1
catelyn,lannister,2
stark,treason,1
luwin,queen,1
arryn,hush,1
bronn,lannister,21
lannister,ned,3
lannister's,umber,1
stark,winter,1
grace,pycelle,1
pycelle,slynt,1
kingsguard,selmy,1
barristan,lannister,1
kingsguard,lannister,22
baelish,knight,2
pycelle,treason,2
cersei,varys,5
joffrey,varys,2
stark,walder,7
grandfather,stark,1
frey,stark,6
frey,lannister,2
frey,joffrey,1
jorah,mormont,2
mormont,westeros,7
mormont,thorne,3
alliser,snow,10
joffrey,mormont,1
snow,watcher,1
aemon,tarly,3
robb,tarly,1
stark,waldron,1
aemon,stark,1
aemon,maekar,1
aegon,aemon,1
khal,qotho,3
lannister,moon,1
bronn,what's,1
mormont,rein,1
lannister,tysha,1
kingslayer,stark,6
baelor,stark,1
baelor,pycelle,1
shut,yoren,1
bran,luwin,4
lannister,mother,1
bracken,joffrey,1
ser,stark,1
jaime,lefford,1
lannister,marbrand,1
lannister,riverland,1
joffrey,snow,2
pyp,sam,2
kings,pycelle,1
baratheon,pycelle,1
baelish,varys,1
announcer,brune,1
dontos,lannister,1
hound,lannister,7
lannister,slynt,3
lord,stark's,1
osha,red,1
craster,edd,4
craster,stark,1
snow,snow,7
craster,old,1
craster,rayder,1
craster,crow,1
baratheon,melisandre,3
matthos,robert,3
joffrey,matthos,2
lannister,matthos,5
kingslayer,matthos,2
davos,tyrell,1
davos,tarly,1
davos,stark,4
baratheon,joffrey,3
stark,westeros,7
arya,lannister,1
alton,joffrey,1
queen,stark,2
daisy,roz,1
olsen,roz,1
daisy,littlefinger,1
littlefinger,roz,1
baelish,roz,2
janos,littlefinger,1
barra,mhaegan,1
h'ghar,hghar,2
baratheon,yoren,1
landing,varys,1
sam,wish,1
gilly,sam,30
jhaqo,mormont,1
rakharo,targaryen,1
lannister,podrick,6
lannister,littlefinger,9
janos,nasty,1
cersei,lannister,46
janos,joffrey,2
bottom,pie,2
stark,stupider,1
lommy,stark,2
stark,yoren,2
balon,stark,2
balon,stark's,2
balon,starks,1
greyjoy,yara,8
davos,joffrey,2
davos,lysene,1
cersei,saan,1
saan,seaworth,1
lannister,regent,3
melisandre,weak,1
melisandre,shut,1
craster,jeor,1
hodor,luwin,2
brienne,kingsguard,4
brienne,renly,4
kingsguard,renly,1
colen,stark,1
catelyn,renly,2
margaery,renly,2
joffrey,renly,1
renly,stark,3
loras,stark,1
gerard,renly,1
brienne,stark,17
balon,ironborn,5
balon,yara,1
balon,motte,1
baratheon,greyjoy,3
joffrey,myrcella,1
mother,myrcella,1
shae,zuriff,1
stark,zuriff,2
matrimony,pycelle,1
dorne,pycelle,1
greyjoy,varys,1
lannister,westeros,30
baelish,slynt,1
kingsguard,loras,1
brienne,loras,1
loras,tyrell,2
dorne,lannister,15
kneel,priest,1
baelish,martell,2
baelish,kingslayer,2
pycelle,robert,1
lannister,pycelle,3
sansa's,varys,1
slynt,varys,1
willem,yoren,2
ho,yoren,1
guard,tyrell,2
rennick,tyrell,1
rennick,shh,1
bolton,stark,20
shh,talisa,1
joffrey,talisa,3
talisa,volantis,4
stark,volantis,1
lancel,lannister,8
lannister,meryn,6
imp,meryn,1
grace,meryn,1
kingsguard,meryn,1
baelish,tyrell,2
kingsguard,tyrell,3
qarth,targaryen,2
cersei,stark,23
baelish,joffrey,6
baelish,winterfell,5
horde,targaryen,1
qarth,spice,1
king,qarth,1
dothraki,king,1
dothraki,xaro,2
qarth,xaro,3
kneel,polliver,2
safer,stark,1
imp,lancel,2
baratheon,cleaner,1
knight,melisandre,1
renly,starks,1
cailin,renly,1
renly,robert,1
killed,lannister,1
lannister,varys,6
lannister,wildfire,1
davos,melisandre,1
greyjoy,islander,1
reginald,starks,1
barrowton,stark,1
halfhand,jeor,1
halfhand,snow,4
sam,westeros,2
dolorous,hurrah,1
haylene,maegor,1
haylene,targaryen,1
haylene,lannister,1
doreah,xaro,1
doreah,qarth,2
targaryen,xaro,2
pree,xaro,2
mormont,quaithe,1
robb,stark,2
luwin,osha,1
mance,qhorin,1
qhorin,snow,1
craster,qhorin,1
jon,sam,8
baratheon,xaro,1
starks,targaryen,1
mormont,must-,1
mormont,qarth,1
greyjoy,winterfell,10
greyjoy,hodor,2
betray,greyjoy,1
greyjoy,luwin,2
greyjoy,motte,5
osha,stark,3
greyjoy,rodrik,4
luwin,starks,1
coward,rodrik,1
hush,rodrik,1
lannister,marlyn,1
lannister,wine,2
qhorin,ygritte,1
halfhand,ygritte,4
qhorin,rayder's,1
snow,ygritte,21
joffrey,man,1
guard,push,1
brotherfucker,crowd,1
daxos,king,1
king,westeros,1
mopatis,targaryen,1
stormborn,targaryen,5
stark,talisa,7
greyjoys,roose,2
cassel,roose,1
roose,winterfell,1
osha,starks,1
greyjoy,rickon,3
luwin,winterfell,3
hodor,osha,1
jack,rickon,1
billy,rickon,1
lannister,pretentious,1
clegane,mountain,1
aegon,stark,1
meraxes,stark,1
sister,stark,1
jonquil,lannister,1
dustin,stark,1
rayder,snow,6
rayder,ygritte,3
targaryen,westeros,6
alton,lannister,1
alton,bryan,1
lannister,selmy,1
andal,quaith,2
pree,stormborn,2
jacks,stark,2
jacks,kingslayer,1
kingslayer,man,5
crag,karstark,1
karstark,treason,1
karstark,lannisters,1
lannisters,man,1
brienne,kingslayer,9
brienne,karstarks,1
brienne,lannister,14
lannister,name,1
envy,greyjoy,1
greyjoy,ironborn,9
bones,halfhand,1
stark's,ygritte,1
kingslayer,rider,1
karstark,kingslayer,2
lannister,pardon,1
joffrey,kevan,1
cersei,kevan,1
kevan,stark,2
kevan,winterfell,1
greyjoys,kevan,1
rorge,yoren,1
halfhand,sam,1
h'ghar,stark,3
lannister,mandon,4
baratheon,shut,1
greyjoy,shut,1
shut,stark,1
baratheon,knight,1
varys,winterfell,1
lannister,stannis,1
hand,varys,1
targaryen,varys,3
mormont,xaro,1
baratheon,matthos,1
lannister,soldier,1
podrick,varys,2
lannister,sheila,1
lannister,maegor,1
hearteater,lannister,2
davos,wildfire,1
davos,steer,2
lannister,sansa's,1
lannister,lorath,1
lannister,shae,2
faster,man,1
all,halfman,3
kingswood,lannister,2
loras,margaery,3
lannister,margaery,24
crowd,margaery,2
littlefinger,varys,4
brienne,catelyn,5
brienne,tullys,2
lannister,man,1
hidden,luwin,1
aggar,greyjoy,1
greyjoy,lorren,1
greyjoy,seagard,1
moore,varys,1
landing,shae,1
hghar,joffrey,1
cersei,hghar,1
hghar,hound,1
hghar,morghulis,2
morghulis,stark,2
hghar,stark,4
north,osha,1
qhorin,rayder,1
mance,ygritte,2
daxos,targaryen,1
edd,gilly,1
jeor,tarly,2
crow,man,1
boy,crow,1
crow,girl,1
mance,stark's,1
mance,snow,10
giantsbane,mance,1
mouth,whore,1
bronn,podrick,2
bronn,whocares,1
davos,westeros,6
baratheon,davos,1
davos,salladhor,1
bolton,kingslayer,3
jeremy,stark,1
dorne,stark,3
dorne,shae,2
baelish,sansa,10
guard,margaery,1
bottom,lannister,3
nakloz,westerner,1
kraznys,missandei,8
baratheon's,mormont,1
kingsguard,mormont,2
barristan,robert,4
barristan,stormborn,1
bolton,talisa,1
ironborn,stark,2
brienne,stark's,2
lannister,tyrell,24
loras,sansa,3
loras,olenna,1
hando,stark,1
sansa,tyrell,4
olenna,tyrell,1
margaery,stark,1
grandmother,tyrell,10
luthor,tyrell,4
speak,tyrell,1
margaery,tyrell,2
dorne,karstark,1
mance,orell,2
grenn,sam,1
jojen,reed,1
jojen,meera,1
brandon,jojen,1
baratheon,h'ghar,1
anguy,thoros,1
thoros,westeros,2
baelish,shae,1
torturer,winterfell,2
osha,rickon,1
reed,stark,1
baratheon,mott,1
hound,thoros,2
clegane,thoros,5
kingslayer,locke,5
edmure,lannister,2
brynden,martyn,1
tully,varys,1
bolton,varys,1
baelish,pycelle,1
pycelle,vale,1
lannister,summer,1
stark's,thoros,1
pie,thoros,1
pie,stark,2
stark,uncle,4
lannister,martyn,1
lannister,talisa,1
tether,woman,1
push,woman,1
barristan,mormont,2
barristan,targaryen,8
greizhen,missandei,1
dothraki,kraznys,1
dothraki,missandei,4
kraznys,targaryen,2
genna,lannister,1
lannister,volantis,4
knot,lannister,1
locke,stark's,1
proof,varys,1
craster,rast,1
beric,joffrey,1
beric,stark,3
beric,robert,1
clegane,robert,1
beric,lannister,1
anguy,mummer,1
clegane,mummer,1
aegon,thoros,1
clegane,joffrey,4
burn,stark,1
orell,tormund,1
orell,ygritte,1
jon,ygritte,1
beric,clegane,4
bolton,locke,4
bolton,lannister,6
baratheon,bolton,4
bolton,jaime,1
lannister,olenna,7
tyrell,volantis,1
karstarks,stark,4
edmure,karstarks,1
joffrey,karstark,1
karstark,stark,3
karhold,stark,2
payne,stark,3
meryn,stark,1
beric,thoros,2
burn,selyse,1
lannister,renly,1
bert,shireen,1
bert,davos,1
shireen,westeros,1
barristan,mm,2
mormont,thoros,3
barristan,thoros,1
barristan,bloody,1
flea,missandei,1
missandei,rat,2
worm,worm,1
barristan,jorah,2
greyjoys,talisa,1
talisa,winterfell,1
loras,squire,1
baelish,margaery,2
karstarks,lannister,1
hobb,sam,1
osha,reed,1
jojen,snow,2
nah,ygritte,1
rayder's,ygritte,1
r'hollor,thoros,1
melisandre,thoros,1
melisandre,robert,1
anguy,bodkin,1
greyjoy,karhold,1
bolton,karhold,1
greyjoy,karstark,2
the,walder,1
freys,stark,1
bolton,brienne,1
brienne,jaime,4
highgarden,lannister,2
cersei,tyrell,9
lannister,loras,2
maid,sansa,1
brynden,prickly,1
rytsas,talisa,1
bronn,stark,2
eraz,westeros,1
chains,shae,1
lannister,solid,1
melisandre,wildfire,1
baratheon,bottom,1
lannisters,stark,1
anguy,beric,1
clegane,kick,1
bolton,qyburn,1
myranda,shh,1
myranda,violet,1
windmill,ygritte,1
bran,jojen,3
bolton,walton,3
clegane,sulk,1
mero,mormont,1
daario,naharis,4
davos,vhagar,1
mero,naharis,1
baratheon,baratheon,2
grandson,tyrell,1
ninteen,targaryen,1
dothroaki,targaryen,1
athjahakar,missandei,1
athjahakar,targaryen,1
duncan,sam,1
feldan,sam,1
sam,tristifer,1
gilly,tarly,3
grace,walder,1
walda,walder,1
derwa,walder,1
walder,waldra,2
marianne,walder,1
freya,walder,1
shirei,walder,1
mormont,worm,1
gift,stark,1
builder,stark,1
hodor,jojen,3
jojen,stark,3
naharis,targaryen,4
edmure,ho-ho,1
lannister,sarsfield,2
crakehall,lannister,3
halfman,lannister,1
lannister,monkey,2
lannister,whom,1
crakehall,stark,1
sansa,varys,2
lannister,northerners,1
cook,stark,2
frey,hoster,1
catelyn,frey,1
frey,tully,1
arryn,frey,1
frey,winterfell,1
frey,greyjoy,1
bolton,ironborn,3
bolton,ramsay,1
greyjoy,reek,8
jojen,shush,1
hodor,sam,1
jojen,westeros,1
sam,stark,2
balon,greyjoy,2
balon,snow,1
balon,bolton,1
balon,warden,1
baratheon,ser,1
bottom,davos,6
alley,davos,1
alley,baratheon,1
myr,varys,1
soldier,walder,1
malcolm,soldier,1
soldier,talbott,1
aemon,sam,7
craster,sam,2
gilly,maester,1
miles,sam,1
davos,florent,1
davos,rylene,1
davos,targaryen,1
aim,davos,1
hush,sam,1
aemon,davos,1
missandei,targaryen,1
ghiscari,missandei,1
lannister,oathbreaker,1
lannister,martell,10
lord,oberyn,1
lannister,oberyn,18
littlefinger,martell,1
ellaria,oberyn,8
dornishman,morgan,1
imp,martell,1
joffrey,martell,1
clegane,martell,1
naharis,worm,1
mance,tormund,1
halfhand,thorne,1
giantsbane,snow,1
aemon,snow,5
aemon,thorne,1
lannister,preston,1
dayne,lannister,1
duncan,lannister,2
daario,meereen,6
meereen,targaryen,7
dontos,stark,1
clegane,vale,1
clegane,lommy,1
hound,polliver,1
polliver,stark,1
joffrey,polliver,1
bolton,run,1
bolton,rip,1
bold,lannister,1
roose,walda,3
roose,snow,2
greyjoy's,roose,1
bolton,roose,6
lannister,roose,4
ironborn,roose,1
cailin,roose,3
bolton,greyjoy,5
greyjoy,roose,1
bolton,reek,14
bolton,bran,2
bolton,starks,2
bolton,rickon,3
locke,winterfell,1
locke,snow,1
gather,roose,1
mace,margaery,1
baelor,lannister,1
man,widow,1
axell,shireen,1
jojen,summer,1
bran,meera,8
meera,winterfell,1
margaery,septon,1
mace,tyrell,1
lannisters,tyrell,1
jaime,loras,1
brienne,tyrell,2
lannister,qyburn,4
pycelle,qyburn,2
ellaria,martell,3
hand,martell,1
cersei,martell,4
martell,sand,1
dorne,ellaria,6
dorne,martell,5
martell,myrcella,1
dwarf,stark,1
kneel,lannister,5
lannister,mm,7
baelish,dontos,2
dontos,first,1
hamlet,sally,4
hamlet,tully,1
slayer,thorne,1
davos,haigh,1
hand,shireen,1
bloody,davos,1
martell,tyrell,1
greyjoys,lannister,4
dorne,podrick,1
lannister,tommen,1
mother,olly,1
miles,snow,1
edd,karl,1
karl,snow,1
daario,queensguard,1
arryn,bronn,1
tyrell,viola,1
grenn,snow,2
craster,slynt,1
slynt,snow,1
locke,name,1
kingsguards,lannister,1
boros,lannister,1
brienne,ii,1
baratheon,brienne,1
robb,sam,1
bra,sam,1
locke,thorne,1
ahem,snow,1
tanner,tanner,1
alley,tanner,1
craster,sissy,1
rast,tanner,1
jon,meera,1
highborn,tanner,1
rast,snow,1
baratheon,mormont,2
barristan,joffrey,1
baelish,lysa,1
al,stark,1
mummy,robin,1
lysa,robin,4
robin,stark,4
lysa,vale,1
stark,thoros,1
clegane,westeros,1
brandon,lysa,2
lysa,shh,1
brienne,sansa's,1
clegane,trant,1
clegane,meryn,1
clegane,trant's,1
kingsguard,podrick,1
grenn,karl,1
bottom,grenn,1
karl,shh,1
locke,stark,1
crow,morag,1
craster,morag,1
burn,morag,1
calm,sallador,1
lhara,sallador,1
davos,me--,1
greyjoy,warden,1
missandei,queen,2
daenerys,hizdahr,1
clegane,varys,1
hound,varys,1
kingsguard,varys,1
oberyn,varys,1
lys,martell,1
joffrey,trant,2
imp,trant,2
king,trant,1
lys,pycelle,1
oberyn,pycelle,1
hollard,pycelle,1
sansa,shae,3
joffrey,shae,2
