nodeA,nodeB,weight
Quite,mordane,1
Bran,stark,25
Bran,snow,7
Stark,cassel,3
Walkers,will,2
Walkers,Walkers,1
Warden,stark,4
Jon,stark,7
Stark,snow,14
Stark,Stark,18
Snow,greyjoy,5
Arryn,lannister,9
Robert,lannister,16
Arryn,Robert,2
Arryn,stark,14
Ned,stark,7
Tommy,stark,1
Winterfell,stark,21
Lannister,stark,16
Ned,baratheon,8
Stark,baratheon,14
Ned,Stark,5
Mmh,lannister,1
Winterfell,ros,1
Dothraki,illyrio,3
Dothraki,viserys,2
Drogo,viserys,1
Dothraki,Drogo,1
Drogo,illyrio,2
Joffrey,stark,50
Hush,stark,2
Stark's,lannister,20
Stark,lannister,94
Ned,benjen,1
Ranger,benjen,1
Ned,Ranger,1
Walkers,stark,1
Benjen,stark,5
Landing,stark,2
Landing,Ned,1
Luwin,voice,1
Stark,luwin,4
Robert,stark,19
Mormont,mormont,2
Magister,targaryen,1
Jorah,targaryen,10
Imp,clegane,2
Dothraki,mormont,8
Grace,mormont,2
Illyrio,mormont,1
Grace,Illyrio,1
Stark,targaryen,6
Uncle,lannister,11
Maester,lannister,2
Grace,stark,8
Robert,Robert,6
Walkers,lannister,3
Mordane,stark,2
Benjen,snow,2
Baratheon,stark,7
Starks,stark,2
Becca,baratheon,1
Aleena,baratheon,1
Meryl,baratheon,1
Aleena,Meryl,1
Dothraki,stark,4
Dothraki,Robert,3
Dothraki,baratheon,4
Luwin,stark,4
Rickon,stark,19
Garth,doreah,1
Moon,irri,2
Moon,Moon,1
Khal,targaryen,2
Stark,stark,31
Hal,cassel,1
Kings,doreah,1
Dothraki,doreah,2
Khal,doreah,1
Dothraki,Khal,1
Dothraki,targaryen,22
Joffrey,lannister,67
Grace,soldier,2
Lady,stark,1
Ilyn,lannister,2
Stark,guard,4
Glad,stark,1
King,lannister,3
King,Stark,2
Stark,varys,13
Stark,baelish,15
Catelyn,baelish,1
Catelyn,Stark,2
Baelish,stark,17
Brandon,stark,1
Baelish,Brandon,1
Tully,baelish,1
Stark,pycelle,4
Targaryen,lannister,6
Winterfell,lannister,5
Warden,lannister,3
Kevan,lannister,3
Warden,Winterfell,3
Kevan,Winterfell,1
Kevan,Warden,1
Starks,lannister,8
Hound,stark,10
Mycah,stark,2
Duncan,nan,1
Macumber,stark,1
Sally,stark,1
Jaime,baelish,1
Imp,baelish,1
Snow,thorne,7
Stark's,thorne,1
Snow,Stark's,3
Mormont,lannister,3
Stark's,mormont,1
Starks,baelish,2
Grenn,lannister,1
Rodrik,lannister,1
Bran,lannister,2
Bran,Rodrik,1
Queen,baelish,1
Littlefinger,stark,8
Grace,selmy,2
Tyroshi,selmy,1
Tarly,baratheon,4
Tarlys,baratheon,1
Lannister,baratheon,9
Tarly,Tarlys,1
Lannister,Tarly,1
Lannister,Tarlys,1
Grace,lannister,5
Kingslayer,baratheon,3
Kingslayer,Lannister,4
Toyne,selmy,1
Yoren,lannister,2
Benjen,lannister,1
Ranger,lannister,1
Lannister,lannister,45
Dothraki,rakharo,1
Vroz,rakharo,1
Bharbo,rakharo,1
Andal,rakharo,1
Andal,Bharbo,1
Qohor,mormont,1
Dothrak,rhakaro,1
Aemon,lannister,1
Starks,aemon,1
Stark,mormont,4
Lannister,snow,4
Snow,lannister,10
Farewell,snow,1
Forel,forel,2
Westeros,forel,1
Kneel,stark,2
Hodor,stark,25
Hodor,Kneel,1
Greyjoy,lannister,14
Imp,greyjoy,2
Leg,snow,1
Tarly,tarly,1
Sam,tarly,3
Sam,Sam,2
Dothrak,mormont,1
Drogo,targaryen,3
Robert,mormont,3
Grace,doreah,1
Westeros,mordane,1
Poole's,stark,1
Joffrey,mordane,1
Hando,slynt,1
Ser,slynt,2
Jon,pycelle,1
Umber,stark,1
Sam,snow,24
Vale,baelish,11
Arryn's,baelish,2
Arryn's,Vale,2
Spider,baelish,1
Hugh,baelish,1
Hugh,cassel,2
Hugh,Hugh,2
Ser,vale,1
Greyjoys,cassel,1
Thoros,lannister,2
Thorne,snow,1
Sam,Thorne,1
Thorne,rast,1
Piggy,rast,1
Piggy,Thorne,1
Hush,targaryen,1
Irri,targaryen,2
Hush,Irri,1
Sally,snow,1
Ros,snow,2
Snow,tarly,2
Snow,snow,9
Ros,Snow,1
Rayder,thorne,2
Eastwatch,thorne,1
Eastwatch,Rayder,2
Rayder,Rayder,2
Lover,baelish,1
Fingers,baelish,1
Hound,baelish,3
Gregor,baelish,4
Hound,Hound,4
Gregor,Hound,8
Gregor,Gregor,6
Sansa,lannister,22
Stark,heddle,1
Tully,stark,2
Whent,stark,1
Tully,Whent,1
Bracken,stark,1
Hugh,stark,3
Stark,selmy,1
King,selmy,1
Hando,baratheon,1
Cersei,baratheon,2
Arryn,baratheon,2
King,baratheon,2
Arryn,Cersei,1
Cersei,Lannister,4
Cersei,King,1
Arryn,Lannister,2
Arryn,King,2
King,Lannister,1
Lys,baelish,1
Littlefinger,baratheon,1
Imp,marillion,1
Shadowcat,lannister,1
Vale,lannister,7
Stark,Vale,4
Rodrik,stark,3
Baratheons,stark,1
Martell,luwin,1
Dothraki,luwin,1
Westeros,greyjoy,6
Stark,greyjoy,14
Robert,ros,1
Varys,varys,1
Arryn,varys,4
Lys,varys,2
Arryn,Lys,1
Drogo,mopatis,1
Delay,varys,1
Redwyne,varys,1
Starks,varys,1
Stark,Starks,4
Stark,Winterfell,12
Yoren,yoren,1
Benjen,yoren,1
Stark,egen,1
Vale,egen,1
Arryn,egen,1
Arryn,Vale,7
Stark,steward,1
Targaryen,steward,1
Honor,baratheon,1
King,stark,2
Mormont,varys,2
Mormont,stark,2
Mormont's,baelish,1
Speak,baratheon,2
Dothraki,pycelle,1
Baelish,cassel,1
Grace,baelish,5
Arryn,baelish,3
Heward,cassel,1
Robin,arryn,1
Vale,arryn,4
Robin,Vale,2
Mommy,arryn,2
Arryn,arryn,1
Jaime,lannister,15
Shh,arryn,1
Vardis,arryn,2
Stark,tyrell,2
Robert,baratheon,15
Tyrell,baratheon,1
baratheon,the,1
Tyrell,the,1
Robert,tyrell,2
Joffrey,tyrell,9
Joffrey,Robert,7
Dothraki,lannister,19
Targaryen,baratheon,2
Dothraki,Targaryen,4
Targaryen,Targaryen,1
Dothraki,Dothraki,6
Robert,baelish,2
Lannister,baelish,5
Threaten,lannister,1
Starks,Threaten,1
-,stark,1
Catelyn,baratheon,1
Dancer,stark,1
Kingslayer,greyjoy,3
Stark's,osha,1
Mance,osha,1
Mance,Stark's,1
