nodeA,nodeB,weight
quite,septa,1
bran,eddard,2
bran,jon,12
cassel,stark,1
white,will,2
white,white,1
eddard,warden,1
jon,stark,11
stark,stark,6
snow,theon,1
cersei,jon,11
jaime,jon,1
jaime,robert,7
jon,robert,5
catelyn,jon,4
catelyn,ned,9
robb,tommy,1
eddard,winterfell,2
arya,jaime,2
ned,robert,16
eddard,jon,8
robert,stark,4
ned,stark,6
mmh,tyrion,1
ros,winterfell,1
dothraki,illyrio,3
dothraki,viserys,8
khal,viserys,2
dothraki,khal,3
illyrio,khal,3
joffrey,sansa,29
catelyn,hush,1
jon,lady,5
ned,tyrion,10
lady,tyrion,16
benjen,ned,1
benjen,ranger,1
ned,ranger,1
eddard,walkers,1
robb,uncle,2
catelyn,kings,1
kings,ned,1
a,maester,1
luwin,stark,2
catelyn,robert,3
jorah,jorah,5
daenerys,magister,1
daenerys,ser,7
imp,sandor,2
dothraki,jorah,8
grace,jorah,2
jorah,magister,1
grace,magister,1
ned,viserys,1
joffrey,uncle,11
maester,tyrion,2
catelyn,grace,1
cersei,robert,15
robert,robert,7
jaime,white,1
arya,septa,2
jon,uncle,3
bran,robb,5
eddard,starks,1
becca,robert,1
aleena,robert,1
meryl,robert,1
aleena,meryl,1
dothraki,eddard,3
eddard,robert,11
dothraki,robert,7
maester,stark,3
maester,robb,2
bran,catelyn,7
rickon,robb,5
doreah,garth,1
irri,moon,2
moon,moon,1
daenerys,khal,3
catelyn,stark,4
hal,rodrick,1
doreah,kings,1
doreah,dothraki,2
doreah,khal,1
daenerys,dothraki,20
arya,joffrey,19
cersei,joffrey,50
eddard,grace,5
grace,soldier,2
lady,sansa,6
cersei,ser,4
kings,stark,1
jaime,stark,15
eddard,glad,1
jaime,the,4
stark,the,1
stark,varys,5
petyr,stark,4
lady,petyr,15
lady,stark,4
baelish,eddard,3
brandon,eddard,1
baelish,brandon,1
catelyn,petyr,6
grand,stark,3
renly,stark,2
joffrey,stark,5
aerys,cersei,1
cersei,stark,8
joffrey,seize,1
joffrey,warden,1
seize,warden,1
seize,uncle,1
uncle,warden,1
joffrey,starks,1
hound,sansa,1
arya,hound,10
arya,mycah,2
eddard,joffrey,2
old,ser,1
macumber,robb,1
bran,maester,3
guard,lady,6
catelyn,sally,1
lady,varys,3
petyr,ser,2
imp,petyr,1
alliser,snow,6
alliser,ned,1
ned,snow,1
mormont,tyrion,2
jeor,ned,2
petyr,starks,2
grenn,tyrion,1
ser,tyrion,7
bran,tyrion,2
bran,ser,4
petyr,queen,3
jaime,ned,9
eddard,littlefinger,1
catelyn,littlefinger,1
barristan,grace,2
barristan,tyroshi,1
robert,tarly,1
robert,tarlys,1
lancel,robert,1
tarly,tarlys,1
lancel,tarly,1
lancel,tarlys,1
grace,lancel,2
kingslayer,robert,2
jaime,kingslayer,7
barristan,toyne,1
grace,jaime,2
benjen,jon,2
benjen,lannister,1
tyrion,yoren,2
benjen,tyrion,1
first,tyrion,1
tyrion,white,2
lannister,tyrion,14
dothraki,rakharo,1
rakharo,vroz,1
khal,rakharo,1
jorah,rakharo,1
jorah,khal,4
jorah,qohor,1
rhakaro,vaes,1
