nodeA,nodeB,weight
Quite,septa mordane,1
Bran,eddard stark,2
Bran,jon snow,7
Stark,cassel,1
White Walkers,will,2
White Walkers,White Walkers,1
Warden,eddard stark,1
Jon,bran stark,2
Stark,jon snow,7
Stark,Stark,6
Snow,theon greyjoy,1
Jon Arryn,cersei lannister,1
Jon Arryn,jaime lannister,1
Robert,jaime lannister,1
Jon Arryn,Robert,2
Jon Arryn,catelyn stark,3
Ned,catelyn stark,7
Tommy,robb stark,1
Winterfell,eddard stark,2
Jaime Lannister,arya stark,1
Ned,robert baratheon,8
Jon Arryn,eddard stark,7
Stark,robert baratheon,2
Ned,Stark,2
Mmh,tyrion lannister,1
Winterfell,ros,1
Dothraki,illyrio,3
Dothraki,viserys,2
Khal Drogo,viserys,1
Dothraki,Khal Drogo,1
Khal Drogo,illyrio,2
Joffrey,sansa stark,23
Hush,catelyn stark,1
Lady Stark,jon snow,1
Ned Stark's,tyrion lannister,4
Lady Stark,tyrion lannister,6
Ned,benjen,1
Ranger,benjen,1
Ned,Ranger,1
Walkers,eddard stark,1
Uncle Benjen,robb stark,1
Kings Landing,catelyn stark,1
Kings Landing,Ned,1
Maester Luwin,a voice,1
Stark,luwin,2
Robert,catelyn stark,1
Jorah Mormont,jorah mormont,2
Magister,daenerys targaryen,1
Ser Jorah,daenerys targaryen,6
Imp,sandor clegane,2
Dothraki,jorah mormont,8
Grace,jorah mormont,2
Magister Illyrio,jorah mormont,1
Grace,Magister Illyrio,1
Ned Stark,viserys targaryen,1
Uncle,joffrey lannister,7
Maester,tyrion lannister,1
Grace,catelyn stark,1
Robert,cersei lannister,9
Robert,Robert,6
White Walkers,jaime lannister,1
Septa Mordane,arya stark,2
Uncle Benjen,jon snow,1
Robert Baratheon,catelyn stark,1
Bran,robb stark,4
Starks,eddard stark,1
Becca,robert baratheon,1
Aleena,robert baratheon,1
Meryl,robert baratheon,1
Aleena,Meryl,1
Dothraki,eddard stark,3
Robert,eddard stark,10
Dothraki,Robert,3
Dothraki,robert baratheon,4
Stark,maester luwin,2
Maester Luwin,robb stark,1
Bran,catelyn stark,7
Rickon,robb stark,4
Garth,doreah,1
Moon,irri,2
Moon,Moon,1
Khal,daenerys targaryen,2
Stark,catelyn stark,3
Hal,rodrick cassel,1
Kings,doreah,1
Dothraki,doreah,2
Khal,doreah,1
Dothraki,Khal,1
Dothraki,daenerys targaryen,20
Joffrey,arya stark,19
Joffrey,cersei lannister,28
Grace,eddard stark,5
Grace,soldier,2
Lady,sansa stark,1
Ser Ilyn,cersei lannister,1
Stark,kings landing guard,1
Stark,jaime lannister,13
Glad,eddard stark,1
jaime lannister,the Mad King,3
Stark,the Mad King,1
Stark,varys,5
Stark,petyr baelish,4
Lady Catelyn,petyr baelish,1
Lady Catelyn,Stark,1
Baelish,eddard stark,3
Brandon,eddard stark,1
Baelish,Brandon,1
Catelyn Tully,petyr baelish,1
Stark,grand maester pycelle,3
Stark,renly baratheon,1
Stark,joffrey lannister,2
Aerys Targaryen,cersei lannister,1
Stark,cersei lannister,8
Seize Winterfell,joffrey lannister,1
Warden,joffrey lannister,1
Uncle Kevan,joffrey lannister,1
Seize Winterfell,Warden,1
Seize Winterfell,Uncle Kevan,1
Uncle Kevan,Warden,1
Starks,joffrey lannister,1
Hound,sansa stark,1
Hound,arya stark,9
Mycah,arya stark,2
Joffrey,eddard stark,1
Ser Duncan,old nan,1
Macumber,robb stark,1
Maester Luwin,bran stark,2
Lady Stark,guard,2
Sally,catelyn stark,1
Lady Stark,varys,1
Ser Jaime,petyr baelish,1
Imp,petyr baelish,1
Snow,alliser thorne,4
Ned Stark's,alliser thorne,1
Ned Stark's,Snow,1
Mormont,tyrion lannister,2
Ned Stark's,jeor mormont,1
Starks,petyr baelish,2
Grenn,tyrion lannister,1
Ser Rodrik,tyrion lannister,1
Bran,tyrion lannister,2
Bran,Ser Rodrik,1
Queen,petyr baelish,1
Ned Stark,jaime lannister,5
Littlefinger,eddard stark,1
Littlefinger,catelyn stark,1
Grace,barristan selmy,2
Tyroshi,barristan selmy,1
Tarly,robert baratheon,1
Tarlys,robert baratheon,1
Lancel Lannister,robert baratheon,1
Tarly,Tarlys,1
Lancel Lannister,Tarly,1
Lancel Lannister,Tarlys,1
Grace,lancel lannister,2
Kingslayer,robert baratheon,1
Jaime Lannister,robert baratheon,2
Jaime Lannister,Kingslayer,3
Toyne,barristan selmy,1
Grace,jaime lannister,2
Dothraki,viserys targaryen,2
Jon,benjen stark,1
Lannister,benjen stark,1
Yoren,tyrion lannister,2
Benjen,tyrion lannister,1
First Ranger,tyrion lannister,1
White Walkers,tyrion lannister,2
Lannister,tyrion lannister,14
Dothraki,rakharo,1
Vroz,rakharo,1
Khal Bharbo,rakharo,1
Jorah the Andal,rakharo,1
