nodeA,nodeB,weight
quite,septa mordane,1
bran,eddard stark,2
bran,jon snow,8
cassel,stark,1
white walkers,will,2
white walkers,white walkers,1
eddard stark,warden,1
bran stark,jon,2
jon snow,stark,10
stark,stark,6
snow,theon greyjoy,1
cersei lannister,jon arryn,2
jaime lannister,jon arryn,1
jaime lannister,robert,3
jon arryn,robert,2
catelyn stark,jon arryn,3
catelyn stark,ned,9
robb stark,tommy,1
eddard stark,winterfell,2
arya stark,jaime lannister,2
ned,robert baratheon,8
eddard stark,jon arryn,7
robert baratheon,stark,2
ned,stark,2
mmh,tyrion lannister,1
ros,winterfell,1
dothraki,illyrio,3
dothraki,viserys,2
khal drogo,viserys,1
dothraki,khal drogo,1
illyrio,khal drogo,2
joffrey,sansa stark,23
catelyn stark,hush,1
jon snow,lady stark,1
ned stark's,tyrion lannister,4
lady stark,tyrion lannister,6
benjen,ned,1
benjen,ranger,1
ned,ranger,1
eddard stark,walkers,1
robb stark,uncle benjen,1
catelyn stark,kings landing,1
kings landing,ned,1
a voice,maester luwin,1
luwin,stark,2
catelyn stark,robert,1
jorah mormont,jorah mormont,2
daenerys targaryen,magister,1
daenerys targaryen,ser jorah,6
imp,sandor clegane,2
dothraki,jorah mormont,8
grace,jorah mormont,2
jorah mormont,magister illyrio,1
grace,magister illyrio,1
ned stark,viserys targaryen,1
joffrey lannister,uncle,7
maester,tyrion lannister,1
catelyn stark,grace,1
cersei lannister,robert,11
robert,robert,6
jaime lannister,white walkers,1
arya stark,septa mordane,2
jon snow,uncle benjen,1
catelyn stark,robert baratheon,1
bran,robb stark,5
eddard stark,starks,1
becca,robert baratheon,1
aleena,robert baratheon,1
meryl,robert baratheon,1
aleena,meryl,1
dothraki,eddard stark,3
eddard stark,robert,10
dothraki,robert,3
dothraki,robert baratheon,4
maester luwin,stark,2
maester luwin,robb stark,1
bran,catelyn stark,7
rickon,robb stark,5
doreah,garth,1
irri,moon,2
moon,moon,1
daenerys targaryen,khal,2
catelyn stark,stark,4
hal,rodrick cassel,1
doreah,kings,1
doreah,dothraki,2
doreah,khal,1
dothraki,khal,1
daenerys targaryen,dothraki,20
arya stark,joffrey,19
cersei lannister,joffrey,30
eddard stark,grace,5
grace,soldier,2
lady,sansa stark,1
cersei lannister,ser ilyn,1
kings landing guard,stark,1
jaime lannister,stark,15
eddard stark,glad,1
jaime lannister,the mad king,3
stark,the mad king,1
stark,varys,5
petyr baelish,stark,4
lady catelyn,petyr baelish,1
lady catelyn,stark,1
baelish,eddard stark,3
brandon,eddard stark,1
baelish,brandon,1
catelyn tully,petyr baelish,1
grand maester pycelle,stark,3
renly baratheon,stark,1
joffrey lannister,stark,2
aerys targaryen,cersei lannister,1
cersei lannister,stark,8
joffrey lannister,seize winterfell,1
joffrey lannister,warden,1
joffrey lannister,uncle kevan,1
seize winterfell,warden,1
seize winterfell,uncle kevan,1
uncle kevan,warden,1
joffrey lannister,starks,1
hound,sansa stark,1
arya stark,hound,10
arya stark,mycah,2
eddard stark,joffrey,1
old nan,ser duncan,1
macumber,robb stark,1
bran stark,maester luwin,2
guard,lady stark,2
catelyn stark,sally,1
lady stark,varys,1
petyr baelish,ser jaime,1
imp,petyr baelish,1
alliser thorne,snow,4
alliser thorne,ned stark's,1
ned stark's,snow,1
mormont,tyrion lannister,2
jeor mormont,ned stark's,1
petyr baelish,starks,2
grenn,tyrion lannister,1
ser rodrik,tyrion lannister,1
bran,tyrion lannister,2
bran,ser rodrik,1
petyr baelish,queen,1
jaime lannister,ned stark,5
eddard stark,littlefinger,1
catelyn stark,littlefinger,1
barristan selmy,grace,2
barristan selmy,tyroshi,1
robert baratheon,tarly,1
robert baratheon,tarlys,1
lancel lannister,robert baratheon,1
tarly,tarlys,1
lancel lannister,tarly,1
lancel lannister,tarlys,1
grace,lancel lannister,2
kingslayer,robert baratheon,2
jaime lannister,robert baratheon,4
jaime lannister,kingslayer,7
barristan selmy,toyne,1
grace,jaime lannister,2
dothraki,viserys targaryen,6
benjen stark,jon,1
benjen stark,lannister,1
tyrion lannister,yoren,2
benjen,tyrion lannister,1
first ranger,tyrion lannister,1
tyrion lannister,white walkers,2
lannister,tyrion lannister,14
dothraki,rakharo,1
rakharo,vroz,1
khal bharbo,rakharo,1
jorah the andal,rakharo,1
jorah the andal,khal bharbo,1
jorah mormont,qohor,1
rhakaro,vaes dothrak,1
maester aemon,tyrion lannister,1
maester aemon,starks,1
jeor mormont,ned stark,1
jon snow,lannister,2
snow,tyrion lannister,1
farewell,jon snow,1
syrio forel,syrio forel,2
syrio forel,westeros,1
lannister,robb stark,3
bran stark,kneel,1
bran stark,hodor,25
hodor,kneel,1
stark,tyrion lannister,10
greyjoy,tyrion lannister,2
balon greyjoy,tyrion lannister,1
imp,theon greyjoy,2
