nodeA,nodeB,weight
mordane,quite,1
bran,stark,27
bran,snow,8
cassel,stark,3
walkers,will,2
walkers,walkers,1
stark,warden,7
jon,stark,8
snow,stark,27
stark,stark,49
greyjoy,snow,7
arryn,lannister,11
lannister,robert,20
arryn,robert,2
arryn,stark,20
ned,stark,12
stark,tommy,1
stark,winterfell,33
lannister,stark,118
baratheon,ned,8
baratheon,stark,22
lannister,mmh,1
ros,winterfell,1
dothraki,illyrio,3
dothraki,viserys,2
drogo,viserys,1
dothraki,drogo,1
drogo,illyrio,2
joffrey,stark,60
hush,stark,2
lannister,stark's,21
benjen,ned,1
benjen,ranger,1
ned,ranger,1
stark,walkers,1
benjen,stark,5
landing,stark,2
landing,ned,1
luwin,voice,1
luwin,stark,9
robert,stark,27
mormont,mormont,3
magister,targaryen,1
jorah,targaryen,10
clegane,imp,2
dothraki,mormont,8
grace,mormont,2
illyrio,mormont,1
grace,illyrio,1
stark,targaryen,12
lannister,uncle,11
lannister,maester,2
grace,stark,10
robert,robert,6
lannister,walkers,3
mordane,stark,2
benjen,snow,2
stark,starks,6
baratheon,becca,1
aleena,baratheon,1
baratheon,meryl,1
aleena,meryl,1
dothraki,stark,4
dothraki,robert,3
baratheon,dothraki,4
rickon,stark,20
doreah,garth,1
irri,moon,2
moon,moon,1
khal,targaryen,2
cassel,hal,1
doreah,kings,1
doreah,dothraki,2
doreah,khal,1
dothraki,khal,1
dothraki,targaryen,26
joffrey,lannister,74
grace,soldier,2
lady,stark,1
ilyn,lannister,2
guard,stark,4
glad,stark,1
king,lannister,4
king,stark,4
stark,varys,13
baelish,stark,35
baelish,catelyn,1
catelyn,stark,3
brandon,stark,1
baelish,brandon,2
baelish,tully,1
pycelle,stark,4
lannister,targaryen,7
lannister,winterfell,6
lannister,warden,3
kevan,lannister,4
warden,winterfell,3
kevan,winterfell,2
kevan,warden,1
lannister,starks,8
hound,stark,11
mycah,stark,2
duncan,nan,1
macumber,stark,1
sally,stark,1
baelish,jaime,1
baelish,imp,1
snow,thorne,8
stark's,thorne,1
snow,stark's,5
lannister,mormont,4
mormont,stark's,1
baelish,starks,2
grenn,lannister,1
lannister,rodrik,2
bran,lannister,2
bran,rodrik,1
baelish,queen,1
littlefinger,stark,8
grace,selmy,2
selmy,tyroshi,1
baratheon,tarly,4
baratheon,tarlys,1
baratheon,lannister,15
tarly,tarlys,1
lannister,tarly,1
lannister,tarlys,1
grace,lannister,5
baratheon,kingslayer,4
kingslayer,lannister,11
selmy,toyne,1
lannister,yoren,2
benjen,lannister,1
lannister,ranger,1
lannister,lannister,52
dothraki,rakharo,1
rakharo,vroz,1
bharbo,rakharo,1
andal,rakharo,1
andal,bharbo,1
mormont,qohor,1
dothrak,rhakaro,1
aemon,lannister,1
aemon,starks,1
mormont,stark,7
lannister,snow,14
farewell,snow,1
forel,forel,2
forel,westeros,1
kneel,stark,3
hodor,stark,25
hodor,kneel,1
greyjoy,lannister,16
greyjoy,imp,2
leg,snow,1
tarly,tarly,3
sam,tarly,8
sam,sam,4
dothrak,mormont,1
drogo,targaryen,3
mormont,robert,3
doreah,grace,1
mordane,westeros,1
poole's,stark,1
joffrey,mordane,1
hando,slynt,1
ser,slynt,2
jon,pycelle,1
stark,umber,1
sam,snow,26
baelish,vale,14
arryn's,baelish,2
arryn's,vale,2
baelish,spider,1
baelish,hugh,1
cassel,hugh,2
hugh,hugh,2
ser,vale,1
cassel,greyjoys,1
lannister,thoros,3
sam,thorne,1
rast,thorne,1
piggy,rast,1
piggy,thorne,1
hush,targaryen,1
irri,targaryen,2
hush,irri,1
sally,snow,1
ros,snow,3
snow,tarly,3
snow,snow,20
rayder,thorne,2
eastwatch,thorne,1
eastwatch,rayder,2
rayder,rayder,2
baelish,lover,1
baelish,fingers,1
baelish,hound,3
baelish,gregor,4
hound,hound,4
