,Release Date,Season,Episode,title,Name,text
0,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar,"waymar What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces."
1,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"will I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
2,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar,waymar How close did you get?
3,2011-04-17,Season 1,Episode 1,Winter is Coming,will,will Close as any man would.
4,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared We should head back to the wall.
5,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce Do the dead frighten you?
6,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared Our orders were to track the wildlings. We tracked them. They won't trouble us no more.
7,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce You don't think he'll ask us how they died? Get back on your horse.
8,2011-04-17,Season 1,Episode 1,Winter is Coming,will,will Whatever did it to them could do it to us. They even killed the children.
9,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"royce It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again."
10,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce Your dead men seem to have moved camp.
11,2011-04-17,Season 1,Episode 1,Winter is Coming,will,will They were here.
12,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared See where they went.
13,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,royce What is it?
14,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,gared It's …
15,2011-04-17,Season 1,Episode 1,Winter is Coming,jon,jon Go on. Father's watching.
16,2011-04-17,Season 1,Episode 1,Winter is Coming,jon,jon And your mother.
17,2011-04-17,Season 1,Episode 1,Winter is Coming,septa,"septa Fine work, as always. Well done."
18,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa,sansa Thank you.
19,2011-04-17,Season 1,Episode 1,Winter is Coming,septa,septa I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …
20,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard,"eddard And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
21,2011-04-17,Season 1,Episode 1,Winter is Coming,jon,"jon Don't think too much, Bran."
22,2011-04-17,Season 1,Episode 1,Winter is Coming,robb,robb Relax your bow arm.
23,2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"jonrobb Quick, Bran, faster!"
24,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,cassel Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.
25,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard,eddard Get the lads to saddle their horses.
26,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn,catelyn Do you have to?
27,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard,"eddard He swore an oath, Cat."
28,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"cassel The law is law, my lady."
29,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard,"eddard Tell Bran he's coming, too."
