node,eigenvector,Betweenes,Degree
Joffrey,0.6058928316882923,0.24057971014492752,0.2391304347826087
Stark,0.3691346704248712,0.16231884057971013,0.19565217391304346
Cersei,0.3467123790591103,0.025120772946859903,0.13043478260869565
Hound,0.29645849151587594,0.024154589371980676,0.10869565217391304
Robert,0.22137535617705492,0.12657004830917873,0.13043478260869565
Sansa,0.21672127059007965,0.0,0.043478260869565216
Ilyn Payne,0.21173432772012302,0.0,0.043478260869565216
Margaery,0.1885606377964933,0.024154589371980676,0.08695652173913043
Robb Stark,0.13467160990749702,0.0,0.021739130434782608
Imp,0.13467160990749702,0.0,0.021739130434782608
Jon Snow,0.11305629598572725,0.0463768115942029,0.08695652173913043
Winterfell,0.10550014979975675,0.0,0.06521739130434782
Westeros,0.0990860480791204,0.0,0.06521739130434782
Warden,0.08631432738718532,0.024154589371980676,0.043478260869565216
Gregor,0.08472416379575289,0.0,0.06521739130434782
Ned Stark's,0.08204966068258264,0.0,0.021739130434782608
Arya Stark's,0.08204966068258264,0.0,0.021739130434782608
Dothraki,0.06755882547077433,0.024154589371980676,0.08695652173913043
Loras Tyrell,0.05388902788899625,0.0,0.06521739130434782
Ned Stark,0.051945298041964065,0.0463768115942029,0.043478260869565216
the Mad King,0.04920493838882333,0.0,0.021739130434782608
Mance Rayder,0.026436476885631284,0.024154589371980676,0.043478260869565216
Roose Bolton,0.019185822412621015,0.0,0.021739130434782608
Viserys Targaryen,0.015016239779028493,0.0,0.021739130434782608
Jon Arryn,0.012329011224209123,0.024154589371980676,0.043478260869565216
Mormont,0.005876448121144347,0.0,0.021739130434782608
Vale,0.003523537362878847,0.0,0.06521739130434782
Bolton,9.506919575323251e-09,0.005797101449275362,0.08695652173913043
Moat Cailin,4.753459787661579e-09,0.0,0.021739130434782608
Ramsay,4.753459787661579e-09,0.0,0.021739130434782608
Lannister,4.753459787661579e-09,0.0,0.021739130434782608
Ironborn,4.753459787661579e-09,0.0,0.021739130434782608
Baelish,1.4295705302802644e-10,0.0,0.06521739130434782
Dornishman,1.4295705302802644e-10,0.0,0.06521739130434782
Arryn,8.83523177028414e-11,0.0,0.021739130434782608
Bur,8.83523177028414e-11,0.0,0.021739130434782608
Jaime Lannister,1.4049883997558344e-11,0.000966183574879227,0.043478260869565216
Kingslayer,9.934768249557863e-12,0.0,0.021739130434782608
Cersei Lannister,9.934768249557863e-12,0.0,0.021739130434782608
Ser Eldrick Sarsfield,4.9579489226064386e-14,0.0,0.021739130434782608
Desmond Crakehall,4.9579489226064386e-14,0.0,0.021739130434782608
Hodor,4.9579489226064386e-14,0.0,0.043478260869565216
Rickon,4.9579489226064386e-14,0.0,0.021739130434782608
Bran,4.9579489226064386e-14,0.0,0.021739130434782608
Orson,4.9579489226064386e-14,0.0,0.043478260869565216
Kingsguard,4.9579489226064386e-14,0.0,0.021739130434782608
Grace,4.9579489226064386e-14,0.0,0.021739130434782608
