node,eigenvector,Betweenes,Degree
Stark,0.32975552196971203,0.0784102623431734,0.0895140664961637
Joffrey,0.2912265375664683,0.10084273419384854,0.09462915601023018
Winterfell,0.2518431990514934,0.06581792078774855,0.07161125319693096
Cersei,0.23681231086211896,0.10904357040994006,0.08695652173913045
Robert,0.23494318993626637,0.060511910015957224,0.0639386189258312
Westeros,0.21404860113052243,0.10343902914017805,0.07161125319693096
Lannister,0.19084560864461741,0.0718805451930241,0.0639386189258312
Jon Snow,0.1843495526707434,0.08097128343968515,0.06649616368286446
Ned Stark,0.18396121926267206,0.0475019583490508,0.04859335038363172
Vale,0.16596793531860993,0.04380687483983911,0.05370843989769821
Jon Arryn,0.1513276250812344,0.021305152726209114,0.03324808184143223
Bolton,0.1502319674645753,0.031967922316728,0.04092071611253197
the Mad King,0.14778058408200245,0.006832980419935052,0.025575447570332484
Robb Stark,0.14396566784986292,0.029549560291539774,0.04347826086956522
Sansa,0.14141433259025624,0.011056281218668971,0.02813299232736573
Robert Baratheon,0.1339727994133227,0.037084266073722574,0.05115089514066497
Jaime Lannister,0.13305367301744997,0.013448436026106448,0.02813299232736573
Cersei Lannister,0.11950205351967642,0.017238358858667938,0.03580562659846548
Warden,0.11049745047176922,0.009654356622698996,0.03580562659846548
Bran,0.10990312429611675,0.029896309546177217,0.04092071611253197
Ned Stark's,0.10914681352486028,0.01699181408034876,0.03324808184143223
Roose Bolton,0.09552525652316082,0.006496556164234163,0.023017902813299233
Greyjoys,0.09472785755706367,0.005375655661764736,0.01790281329923274
Rickon,0.09422098441103738,0.036207616595741246,0.030690537084398978
Baelish,0.0928772669510529,0.020797584271987597,0.030690537084398978
Sansa Stark,0.088919608698998,0.018579339173542056,0.04092071611253197
Ironborn,0.08760174953866744,0.01813527200840543,0.03580562659846548
Thoros,0.0830273983602385,0.005184736929552044,0.020460358056265986
Ned,0.08112495950252395,0.010181736341608164,0.01790281329923274
Ramsay Bolton,0.08045194598434408,0.0007658519417822726,0.01790281329923274
Catelyn Stark,0.08036640093159526,0.009784126079404635,0.020460358056265986
Dothraki,0.07691647414455208,0.053846820015319936,0.05115089514066497
Kingslayer,0.07621456779086509,0.035200686232250124,0.030690537084398978
Hoster Tully,0.07610996720810913,0.012639142287089001,0.020460358056265986
Tywin Lannister,0.07563514858277358,0.003192537044818872,0.01790281329923274
Ilyn Payne,0.07256440986003489,0.0003955010112212321,0.01790281329923274
Karstarks,0.07246804612083523,0.0054909976733348055,0.023017902813299233
Starks,0.0718927243639333,0.0060690582266000725,0.023017902813299233
Lady Sansa,0.0718921053626198,0.02046969263686939,0.03324808184143223
Arya Stark,0.07180466637033275,0.021260552299554758,0.025575447570332484
Dorne,0.0715155025927088,0.0195975001105511,0.03836317135549872
Hound,0.06991629900636587,0.02154065029571207,0.030690537084398978
Aegon Targaryen,0.0670186310029091,0.012121960860565337,0.01790281329923274
Meryn Trant,0.06301430595066262,0.004105187225391829,0.015345268542199489
Tyrell,0.0628198158752477,0.011267720188161256,0.01790281329923274
Ser Meryn,0.06068540131376979,0.004105187225391829,0.01790281329923274
Lady Stark's,0.059939103628186226,0.008303938967349874,0.012787723785166242
Kingsguard,0.05154951153978039,0.03822825858526481,0.04092071611253197
Balon Greyjoy,0.05032326642769591,0.006798718684792217,0.015345268542199489
Moat Cailin,0.04766585842961289,0.0006363989784619106,0.01790281329923274
Flea Bottom,0.04758051682819491,0.004680161652569013,0.010230179028132993
Margaery,0.04735157752317444,0.011868115707297061,0.030690537084398978
Joffrey Baratheon,0.045342889870443236,0.0030351178087369302,0.015345268542199489
Reek,0.045281863477630906,0.004700417284373146,0.010230179028132993
Martell,0.044513362616706756,0.0009602070461798967,0.0076726342710997444
Queen Cersei,0.0436050263326074,0.0009610252382351127,0.0076726342710997444
Grandson,0.04352611167819978,0.0,0.005115089514066497
Sweet Tommen,0.04352611167819978,0.0,0.005115089514066497
Brandon Stark,0.04281026459290522,0.0006930313444530385,0.015345268542199489
Cerwyn,0.04280878717298813,0.0,0.0076726342710997444
Hand,0.04273266747492813,0.00552115810351163,0.01790281329923274
Mance Rayder,0.04256882522724783,0.026622907072692815,0.025575447570332484
Elia Martell,0.04225298288625557,0.0007023098730751692,0.01790281329923274
Mormont,0.041988271647251135,0.01435980785307182,0.020460358056265986
Ramsay,0.04186668009217955,0.0015334377737183115,0.020460358056265986
King,0.041844997505131355,0.0,0.0076726342710997444
Manderlys,0.04147491800924184,0.00036129813708285616,0.012787723785166242
Grace,0.04125701817995769,0.013342168216212823,0.020460358056265986
Imp,0.040030174773612745,0.008197258836645026,0.015345268542199489
Queen Margaery,0.0386029171272688,0.00226900619306016,0.012787723785166242
Theon Greyjoy,0.038211796051220354,0.0003776924663540179,0.010230179028132993
Steffon,0.03814868280524453,0.0,0.005115089514066497
Snow,0.0377304460528586,0.029105266380069862,0.01790281329923274
Lyanna,0.03693781141238438,0.0,0.010230179028132993
Whent,0.03693781141238438,0.0,0.010230179028132993
Loras Tyrell,0.03653420066798024,0.004697284289366633,0.015345268542199489
Rickon Stark,0.03645045839042187,7.322884560736225e-05,0.0076726342710997444
Olenna,0.03503657165209113,0.0005687903190535957,0.012787723785166242
Arryn,0.03483716035461286,0.00013647171981363113,0.005115089514066497
Knight,0.03444048813214582,0.0,0.005115089514066497
Queen Mother,0.03435930270702666,0.0,0.0076726342710997444
Highgarden,0.033086868632418415,0.0,0.0076726342710997444
Lady Catelyn,0.033011840933506044,0.0016896871332698644,0.0076726342710997444
Lady Mormont,0.03048118846790997,0.0,0.0076726342710997444
Gather,0.02999421077447451,0.000450970437454527,0.0076726342710997444
Lady Bolton,0.02986764271295651,0.0,0.005115089514066497
Lady Arryn,0.029614331726858817,0.004369918850540531,0.0076726342710997444
Royce,0.02947150764054055,0.0010364244864228326,0.010230179028132993
Ilyrio Mopatis,0.02868827569683694,0.0,0.005115089514066497
Euron Greyjoy,0.028612232035884422,0.0,0.005115089514066497
Oberyn,0.02753971277834567,0.006824574844758769,0.015345268542199489
Thorne,0.02751633722792224,0.006795041562316563,0.012787723785166242
Arya Stark's,0.027181046485488428,0.0,0.0025575447570332483
Told Thoros,0.027181046485488428,0.0,0.0025575447570332483
Greyjoy,0.027181046485488428,0.0,0.0025575447570332483
Catelyn,0.027058906689417773,0.005345188899481754,0.010230179028132993
Margerey,0.026893386779869896,0.0,0.005115089514066497
Tullys,0.026789238811302525,5.296690325216786e-05,0.0076726342710997444
Bloody,0.02621020658004878,0.0,0.005115089514066497
Queen,0.026152861773034553,0.009071501796270635,0.010230179028132993
Uncle Kevan,0.025766028247825905,0.0011751967737547212,0.0076726342710997444
DICKON,0.025660112035386838,0.00018807781939790593,0.012787723785166242
Walder Frey,0.02549466428284769,0.00021031194381037943,0.005115089514066497
Lyanna Mormont,0.025447199312522283,0.0,0.005115089514066497
Littlefinger,0.024997532468905986,8.681287453665968e-05,0.012787723785166242
Ellaria,0.024145708166285043,0.0004782211806708276,0.012787723785166242
Dontos,0.024005351769305107,0.0,0.0025575447570332483
Grand Maester,0.024005351769305107,0.0,0.0025575447570332483
King Robert's,0.024005351769305107,0.0,0.0025575447570332483
Jon Snow King,0.023985545402244454,0.0,0.005115089514066497
Brienne,0.023382800981155,0.006900263639916054,0.012787723785166242
Daenerys Stormborn,0.022824216909191963,0.0011850558020971263,0.0076726342710997444
Meereen,0.02228675155267105,0.013455972097004632,0.015345268542199489
Oberyn Martell,0.02226510235281939,0.0013090543266440705,0.0076726342710997444
Jorah,0.021740193309767182,0.005548544947521931,0.012787723785166242
Aerys II,0.021576134589518216,0.0,0.0076726342710997444
Momma,0.021274481630550093,0.0,0.0076726342710997444
Robb Stark's,0.020974677672727666,2.7937484655958006e-05,0.005115089514066497
Daenerys Targaryen,0.02078568614948442,0.0018389111727503463,0.0076726342710997444
Walkers,0.020759695465940975,0.0,0.0025575447570332483
Lady Stark,0.02068889937188932,0.0023677743430344255,0.0076726342710997444
Randyll Tarly,0.02043607416934876,0.015362468542499725,0.010230179028132993
Meera Reed,0.02037144384397462,0.0,0.0076726342710997444
Howland Reed,0.02037144384397462,0.0,0.0076726342710997444
Bronn,0.019801977254326933,0.008197258836645026,0.0076726342710997444
Missandei,0.019660535278939188,0.008364488678952783,0.0076726342710997444
Shut,0.01965431940779889,0.004105187225391829,0.005115089514066497
Horse,0.019520759908894684,0.0,0.0025575447570332483
Sail,0.019520759908894684,0.0,0.0025575447570332483
Robin Arryn,0.01941064185654147,0.0001787489767029408,0.0076726342710997444
Septa Mordane,0.019366289270459306,0.0,0.0025575447570332483
Baelor,0.019366289270459306,0.0,0.0025575447570332483
Deepwood Motte,0.019207212235827144,0.0009640126706819606,0.010230179028132993
Ellaria Sand,0.019029160475700267,0.0004707985482123353,0.012787723785166242
Maester Luwin,0.01852725878854489,0.008184143222506393,0.012787723785166242
Betray,0.018273812394337112,0.0,0.0076726342710997444
Dothraki Screamers,0.017847781040175623,0.0,0.005115089514066497
