node,eigenvector,betweenes,degree
tyrion lannister,0.46312709511876426,0.25653529750419707,0.19480519480519481
jon snow,0.29800606156610576,0.3095394428613841,0.15584415584415584
stark,0.28264079236880124,0.19365259085867426,0.09090909090909091
joffrey,0.25934709499397707,0.11477315405032425,0.09090909090909091
cersei,0.2554357376118452,0.08032334871022499,0.09090909090909091
cersei lannister,0.23610063418879287,0.1899641493541015,0.1168831168831169
daenerys targaryen,0.21599379804729862,0.0693484356078341,0.09090909090909091
jaime lannister,0.21289964127762875,0.10231129089639,0.09090909090909091
westeros,0.20314953631990756,0.03427591812759275,0.06493506493506494
dothraki,0.18549036701907765,0.02546791326695634,0.05194805194805195
arya stark,0.15515432267295018,0.027679907242449963,0.05194805194805195
sansa stark,0.14782341370474072,0.11841129934089606,0.09090909090909091
oberyn,0.1379070209993746,0.025997018854161714,0.03896103896103896
meereen,0.1274782030910536,0.0023606832902800094,0.025974025974025976
lannister,0.12689686358656635,0.0038984094435222257,0.025974025974025976
lady stark,0.12689686358656635,0.0038984094435222257,0.025974025974025976
petyr baelish,0.11785039559001753,0.006537458895627043,0.03896103896103896
vale,0.11303809912688144,0.02566074276600593,0.03896103896103896
winterfell,0.09916196993605746,0.030579843942796777,0.03896103896103896
davos,0.09407475489188907,0.003463203463203466,0.025974025974025976
bran,0.0902992195708818,0.1602063008761574,0.05194805194805195
bronn,0.0901086483605087,0.023239917976760085,0.025974025974025976
podrick,0.08693363459294974,0.0,0.012987012987012988
orson,0.08693363459294974,0.0,0.012987012987012988
littlefinger,0.08693363459294974,0.0,0.012987012987012988
theon greyjoy,0.08242770732836653,0.06209391542610958,0.06493506493506494
jorah mormont,0.07295305773687835,0.00014240145819093187,0.025974025974025976
sam,0.06255384676386694,0.06869446343130554,0.05194805194805195
ramsay bolton,0.058004129414217065,0.008666145884190998,0.025974025974025976
ygritte,0.055940746300679724,0.0,0.012987012987012988
mance,0.055940746300679724,0.0,0.012987012987012988
melisandre,0.055940746300679724,0.0,0.012987012987012988
ser alliser,0.055940746300679724,0.0,0.012987012987012988
mance rayder,0.055940746300679724,0.0,0.012987012987012988
dorne,0.050973386406424896,0.003918616888541701,0.025974025974025976
robert,0.04962789259191764,0.09056732740943269,0.05194805194805195
tywin lannister,0.048682855500791156,0.0,0.012987012987012988
olenna tyrell,0.04794881868177202,0.0,0.012987012987012988
euron greyjoy,0.04431819683512033,0.0,0.012987012987012988
margaery,0.04431819683512033,0.0,0.012987012987012988
brienne,0.042992914981899194,0.04613807245386193,0.03896103896103896
ser jorah,0.040544568498103874,0.0,0.012987012987012988
barristan,0.040544568498103874,0.0,0.012987012987012988
kingsguard,0.0399632289936166,0.0,0.012987012987012988
ellaria,0.035455199541095696,0.0007872766331412951,0.025974025974025976
hound,0.029123993251913862,0.0,0.012987012987012988
ramsay,0.02774832040373167,0.0,0.012987012987012988
rickon,0.02774832040373167,0.0,0.012987012987012988
baelish,0.02774832040373167,0.0,0.012987012987012988
reek,0.02636099239452101,0.0007508440522794589,0.025974025974025976
petyr,0.02121872140745436,0.0,0.012987012987012988
meera,0.017618809158679204,0.06766917293233084,0.025974025974025976
catelyn stark,0.01759347012204347,0.045796308954203696,0.025974025974025976
dornishman,0.016914597042423568,0.0,0.012987012987012988
yara,0.015472903231646044,0.0,0.012987012987012988
ironborn,0.015472903231646044,0.0,0.012987012987012988
maester aemon,0.011742526630174348,0.0,0.012987012987012988
gilly,0.011742526630174348,0.0,0.012987012987012988
jon,0.011742526630174348,0.0,0.012987012987012988
eddard stark,0.009655937044574979,0.023239917976760085,0.025974025974025976
renly baratheon,0.009315722948383932,0.0,0.012987012987012988
stannis baratheon,0.009315722948383932,0.0,0.012987012987012988
kingslayer,0.008070285440632681,0.0,0.012987012987012988
lady sansa,0.008070285440632681,0.0,0.012987012987012988
hodor,0.0035582905036548778,0.04613807245386193,0.03896103896103896
ned,0.0034233539896154396,0.023239917976760085,0.025974025974025976
jon arryn,0.0018124706078299305,0.0,0.012987012987012988
bran stark,0.0006680088097449459,0.0,0.012987012987012988
young hodor,0.0006680088097449459,0.0,0.012987012987012988
robert baratheon,0.0006426697731092103,0.0,0.012987012987012988
kraznys,5.517912214274562e-13,0.0,0.012987012987012988
missandei,5.517912214274562e-13,0.0,0.012987012987012988
joffrey lannister,5.517912214274562e-13,0.0,0.012987012987012988
queen margaery,5.517912214274562e-13,0.0,0.012987012987012988
sparrow,5.517912214274562e-13,0.0,0.012987012987012988
grandmother,5.517912214274562e-13,0.0,0.012987012987012988
margaery tyrell,5.517912214274562e-13,0.0,0.012987012987012988
uncle,5.517912214274562e-13,0.0,0.012987012987012988
