node,eigenvector,betweenes,degree
north,0.45200642411464026,0.060185185185185175,1.1111111111111112
unknown,0.45200642411464004,0.2199074074074074,1.5555555555555554
crownlands,0.42896476421316787,0.048611111111111105,1.0
vale,0.36541343346577576,0.0,0.4444444444444444
westerlands,0.3368459220156703,0.07638888888888888,1.0
iron,0.22844572822032416,0.0,0.5555555555555556
riverlands,0.22820878535653644,0.26157407407407407,0.8888888888888888
stormlands,0.1993444551402484,0.0,0.2222222222222222
reach,0.11422286411016215,0.0,0.4444444444444444
dorne,0.057668784530181136,0.0,0.1111111111111111
