node,eigenvector,betweenes,degree
robert,0.9999977694129848,0.0,0.030303030303030304
kingslayer,1.5465194294208686e-06,0.001893939393939394,0.06060606060606061
flea bottom,1.4798132786375542e-06,0.0,0.030303030303030304
daario naharis,1.2419293894611795e-06,0.0,0.030303030303030304
bolton,6.762229225810313e-07,0.001893939393939394,0.06060606060606061
barristan,5.112135540357483e-07,0.001893939393939394,0.06060606060606061
kraznys,8.756959226905664e-08,0.0,0.030303030303030304
dothraki,8.756851422146991e-08,0.0,0.030303030303030304
bran stark,2.1652144485265195e-12,0.0,0.030303030303030304
tyrion lannister,1.6163811852240918e-12,0.10416666666666667,0.15151515151515152
ygritte,8.469081322204228e-13,0.0,0.030303030303030304
daario,8.279614343851913e-13,0.0,0.030303030303030304
arya stark,5.108951530739708e-13,0.0,0.030303030303030304
steelshanks walton,1.2666729784747913e-13,0.0,0.030303030303030304
loras,5.700539311779474e-15,0.0,0.030303030303030304
daenerys targaryen,7.77503109051098e-16,0.0,0.030303030303030304
tywin lannister,-2.1784762858031382e-14,0.0,0.06060606060606061
varys,-3.029116886958081e-14,0.0,0.030303030303030304
missandei,-8.39646185892027e-14,0.001893939393939394,0.06060606060606061
cersei lannister,-9.954114119240204e-14,0.022727272727272728,0.06060606060606061
jaime lannister,-3.264228578633887e-13,0.0,0.030303030303030304
locke,-4.0337888724630234e-13,0.0,0.030303030303030304
davos,-5.462574836911926e-13,0.0,0.030303030303030304
brienne,-5.549913299618682e-13,0.0,0.030303030303030304
sansa stark,-2.206413074531792e-08,0.022727272727272728,0.09090909090909091
hodor,-4.7418674802679154e-07,0.0,0.030303030303030304
margaery,-5.597174426659877e-07,0.0,0.030303030303030304
jon snow,-1.0464693189486182e-06,0.0,0.030303030303030304
podrick,-1.138775930902585e-06,0.0,0.030303030303030304
desmond crakehall,-1.1387762160152412e-06,0.0,0.030303030303030304
lady sansa,-1.2006893466262867e-06,0.022727272727272728,0.06060606060606061
littlefinger,-1.2527203331836815e-06,0.022727272727272728,0.06060606060606061
dorne,-0.0014920916216830938,0.0,0.030303030303030304
joffrey,-0.0014949306175176013,0.10037878787878789,0.15151515151515152
