node,eigenvector,betweenes,degree
jon,0.5719779021687271,0.03991291727140784,0.07547169811320754
mance,0.5719779021687269,0.0,0.03773584905660377
ser,0.5719779021687269,0.05660377358490566,0.03773584905660377
cersei,9.951726896406903e-17,0.0699080793420416,0.09433962264150943
uncle,9.13756362273102e-17,0.0,0.018867924528301886
robin,8.085378391522934e-17,0.02467343976777939,0.05660377358490566
kingsguard,7.928484094149177e-17,0.0,0.018867924528301886
ramsay,7.83858291158697e-17,0.0,0.018867924528301886
reek,7.180891757105755e-17,0.0,0.018867924528301886
sansa,7.147332472656819e-17,0.07474600870827286,0.07547169811320754
moat,7.140921752217739e-17,0.0,0.018867924528301886
kneel,6.407212838054037e-17,0.0,0.018867924528301886
oberyn,6.082659693142599e-17,0.0609579100145138,0.11320754716981132
meryn,5.931342466507227e-17,0.0,0.018867924528301886
orson,5.5511151231257815e-17,0.0,0.018867924528301886
lysa,5.314747012289384e-17,0.0,0.018867924528301886
luthor,5.2481332667981506e-17,0.0,0.018867924528301886
ellaria,4.941460306514594e-17,0.0,0.018867924528301886
jaime,4.2610599144673786e-17,0.09845186260280601,0.09433962264150943
elia,4.1633363423443364e-17,0.0,0.018867924528301886
olenna,3.8802367043278966e-17,0.0,0.018867924528301886
ygritte,2.7755575615628907e-17,0.0,0.018867924528301886
yara,2.26514746677477e-17,0.0,0.018867924528301886
baelish,2.2539469909875e-17,0.020319303338171262,0.03773584905660377
davos,2.1009072456741514e-17,0.0,0.018867924528301886
meera,1.7064969049501867e-17,0.0,0.018867924528301886
roose,1.6099866248298712e-17,0.0,0.018867924528301886
lannister,1.1465042910382324e-17,0.0,0.03773584905660377
hodor,4.001980385852346e-18,0.0,0.018867924528301886
farmer,9.561418188400013e-19,0.0,0.018867924528301886
lady,2.699661052356294e-19,0.0,0.018867924528301886
tywin,-1.3088566560718261e-18,0.020319303338171262,0.03773584905660377
bran,-1.8501954239019566e-17,0.000725689404934688,0.03773584905660377
theon,-1.8519964842331733e-17,0.0,0.018867924528301886
sally,-1.9525077913814086e-17,0.0,0.018867924528301886
arya,-2.2306733159330668e-17,0.0,0.018867924528301886
daenerys,-2.3747103867459812e-17,0.000725689404934688,0.03773584905660377
khuu,-2.4286128663675293e-17,0.0,0.018867924528301886
margaery,-2.5136996448124862e-17,0.0,0.018867924528301886
westeros,-2.5604627872483983e-17,0.0,0.018867924528301886
together,-2.7755575615628907e-17,0.0,0.018867924528301886
loras,-2.7755575615628907e-17,0.0,0.018867924528301886
tyrion,-3.3671565305826516e-17,0.07160135462022255,0.11320754716981132
vale,-4.0198330970471936e-17,0.001451378809869376,0.03773584905660377
sandor,-4.131369436723388e-17,0.0,0.018867924528301886
bronn,-4.327038801409713e-17,0.0,0.018867924528301886
dorne,-5.10660658257715e-17,0.0,0.018867924528301886
daario,-5.330247900440898e-17,0.0,0.018867924528301886
petyr,-6.12538306858232e-17,0.01451378809869376,0.03773584905660377
joffrey,-7.086796263833794e-17,0.16932752781809388,0.18867924528301885
meereen,-7.289067287957951e-17,0.0,0.018867924528301886
catelyn,-8.835231294042193e-17,0.0,0.018867924528301886
gilly,-0.09623886504938264,0.0,0.03773584905660377
sam,-0.09623886504938267,0.0,0.03773584905660377
