node,eigenvector,betweenes,degree
sam,0.5773502691896257,0.09358974358974359,0.125
jon,0.40824829046386313,0.3174664224664225,0.2
gilly,0.4082482904638631,0.0,0.05
maester,0.4082482904638631,0.0,0.025
winterfell,0.2886751345948129,0.10871794871794871,0.07500000000000001
mance,0.28867513459481287,0.0,0.025
joffrey,9.007351625441051e-17,0.1851343101343101,0.125
dothraki,5.948369353339666e-17,0.0,0.025
westeros,5.654193047970357e-17,0.0,0.025
grandmother,5.551115123125783e-17,0.0,0.025
vale,5.1954793619153415e-17,0.0,0.025
cersei,4.366779190670526e-17,0.28117216117216115,0.2
sansa,3.6040785088646244e-17,0.22877289377289375,0.125
baelish,3.469446951953614e-17,0.0,0.025
bronn,2.9047698179472547e-17,0.0,0.025
meera,2.7755575615628914e-17,0.0,0.025
robert,2.345831564442637e-17,0.09358974358974359,0.1
lannister,2.117687453519538e-17,0.0,0.025
hound,1.6061492790275984e-17,0.0,0.025
theon,1.4510346388333055e-17,0.0,0.025
ramsay,1.3877787807814457e-17,0.0,0.025
ygritte,1.100615341441888e-17,0.0,0.025
jaime,8.908275659857402e-18,0.08337606837606837,0.125
brienne,7.774238107814911e-18,0.047435897435897434,0.05
kingsguard,0.0,0.0,0.025
bran,-5.293801829183367e-19,0.09230769230769231,0.05
lady,-1.0823903278464861e-18,0.1501831501831502,0.1
stark,-1.7871643564315157e-18,0.006886446886446888,0.05
davos,-6.938893903907228e-18,0.0,0.025
kingslayer,-8.83490451759978e-18,0.0,0.025
tyrion,-9.798950813733802e-18,0.35126373626373625,0.225
petyr,-1.9829476814923843e-17,0.07765567765567766,0.07500000000000001
stannis,-2.7755575615628914e-17,0.0,0.025
margaery,-2.7755575615628914e-17,0.047435897435897434,0.05
daenerys,-3.345039731349331e-17,0.08466422466422466,0.07500000000000001
eddard,-4.292793771353343e-17,0.0,0.025
arya,-5.1131964921276663e-17,0.047435897435897434,0.07500000000000001
reek,-5.551115123125783e-17,0.0,0.025
hodor,-6.803739163977025e-17,0.047435897435897434,0.05
ned,-8.310395445755116e-17,0.040091575091575085,0.1
uncle,-1.2055803609536245e-16,0.0,0.025
