node,eigenvector,betweenes,degree
sam,0.7071067811865477,0.03865546218487395,0.08571428571428572
gilly,0.7071067811865475,0.0,0.05714285714285714
bronn,1.185941197944022e-16,0.0,0.02857142857142857
stark,8.576495040070195e-17,0.014565826330532215,0.05714285714285714
cersei,8.117423505662659e-17,0.14901960784313728,0.11428571428571428
winterfell,8.020256361864955e-17,0.0957983193277311,0.08571428571428572
kingsguard,6.895965624079336e-17,0.0,0.02857142857142857
westeros,5.665685268109767e-17,0.0,0.02857142857142857
margaery tyrell,5.436871659064247e-17,0.0,0.02857142857142857
tyrion lannister,4.24907939559078e-17,0.16246498599439776,0.17142857142857143
jon snow,4.081782492004117e-17,0.13613445378151262,0.11428571428571428
ygritte,3.288396987823471e-17,0.0,0.02857142857142857
grandmother,3.254336909704297e-17,0.0,0.02857142857142857
sansa stark,2.9429118972871956e-17,0.13949579831932774,0.11428571428571428
lannister,2.7805520909233334e-17,0.0,0.02857142857142857
theon greyjoy,2.4065063897427506e-17,0.0,0.02857142857142857
jaime lannister,1.4131849864972196e-17,0.04565826330532213,0.08571428571428572
meera,6.938893903907228e-18,0.0,0.02857142857142857
brienne,6.6088709463580176e-18,0.0,0.02857142857142857
eddard stark,5.471596130523479e-18,0.0,0.02857142857142857
dothraki,4.962441132252165e-18,0.0,0.02857142857142857
bran,0.0,0.0,0.02857142857142857
joffrey,-2.4915798210634967e-18,0.1876750700280112,0.11428571428571428
hound,-3.1935772975879482e-18,0.0,0.02857142857142857
vale,-5.754926597272027e-18,0.0,0.02857142857142857
petyr baelish,-6.073757322401728e-18,0.0,0.02857142857142857
arya stark,-1.567242963729133e-17,0.05910364145658263,0.08571428571428572
baelish,-2.6267100244475117e-17,0.0,0.02857142857142857
daenerys targaryen,-2.6436063216301835e-17,0.11596638655462185,0.08571428571428572
ramsay bolton,-2.7755575615628914e-17,0.0,0.02857142857142857
kingslayer,-3.197513356487903e-17,0.0,0.02857142857142857
reek,-5.551115123125783e-17,0.0,0.02857142857142857
cersei lannister,-7.092474579732613e-17,0.07394957983193277,0.05714285714285714
bran stark,-7.313651103933062e-17,0.0,0.02857142857142857
hodor,-9.676156779939962e-17,0.0016806722689075631,0.05714285714285714
robert,-1.2818495849384946e-16,0.03865546218487395,0.05714285714285714
