node,eigenvector,betweenes,degree
stark,0.36675547749509474,0.3724696356275303,0.15384615384615385
vale,0.26971610338606294,0.03913630229419703,0.05128205128205128
gregor,0.2640432954102429,0.0,0.02564102564102564
hound,0.2640432948758196,0.0,0.02564102564102564
lannister,0.19566125837478282,0.0,0.02564102564102564
jaime,0.19566125811196974,0.0,0.02564102564102564
lady stark,0.1956612579160275,0.0,0.02564102564102564
bronn,0.19566125788957908,0.0,0.02564102564102564
sam,0.14591685477897662,0.0,0.02564102564102564
walder,0.14034606474300357,0.0,0.02564102564102564
bran,0.14034606440208885,0.0,0.02564102564102564
ned,0.10843803379997825,0.01282051282051282,0.05128205128205128
cersei,0.012788171186941318,0.0,0.02564102564102564
petyr baelish,2.9460170250629736e-10,0.001349527665317139,0.05128205128205128
tyrion lannister,2.1830563391587405e-10,0.21322537112010795,0.15384615384615385
renly baratheon,1.8966655885625474e-10,0.0,0.02564102564102564
jon snow,1.6280418325003658e-10,0.03913630229419703,0.05128205128205128
jaime lannister,1.601485793705086e-10,0.0,0.02564102564102564
catelyn stark,1.5658867166357472e-10,0.09311740890688258,0.10256410256410256
grand maester pycelle,1.2001100316124578e-10,0.0,0.02564102564102564
lysa arryn,8.262540079585152e-11,0.0,0.02564102564102564
illyrio,3.6519343389021526e-11,0.0,0.02564102564102564
varys,1.4268178687589846e-11,0.03913630229419703,0.05128205128205128
jorah mormont,-3.821149752253674e-12,0.0,0.02564102564102564
robert baratheon,-3.560082840558682e-11,0.027665317139001347,0.05128205128205128
qotho,-5.336410066693173e-11,0.0,0.02564102564102564
daenerys targaryen,-9.172996771431083e-11,0.0,0.02564102564102564
alliser thorne,-1.2811157122800677e-10,0.0,0.02564102564102564
sansa stark,-1.5828786338647966e-10,0.0,0.02564102564102564
cersei lannister,-2.663365578453389e-10,0.3022941970310391,0.05128205128205128
eddard stark,-2.709901376075562e-10,0.35695006747638325,0.15384615384615385
khal,-0.047828756147148405,0.0,0.02564102564102564
jon arryn,-0.1025348454440342,0.10728744939271255,0.05128205128205128
snow,-0.11482283406194616,0.0,0.02564102564102564
joffrey,-0.141869003007609,0.0,0.02564102564102564
grace,-0.2428809098297866,0.0,0.02564102564102564
ser hugh,-0.24288091004739007,0.0,0.02564102564102564
baelish,-0.2428809100559772,0.0,0.02564102564102564
robert,-0.31159809485133333,0.3225371120107962,0.07692307692307693
dothraki,-0.3276974761274862,0.15654520917678813,0.1282051282051282
