node,eigenvector,betweenes,degree
unknown,0.4870024998503734,0.38657407407407407,1.7777777777777777
north,0.4870024998503733,0.16435185185185183,1.5555555555555554
vale,0.4027555939150138,0.006944444444444444,0.7777777777777777
westerlands,0.3294539069606168,0.034722222222222224,1.0
crownlands,0.2900124561140318,0.018518518518518517,0.8888888888888888
reach,0.2812369496717018,0.0,0.5555555555555556
riverlands,0.21671076915963464,0.0,0.6666666666666666
iron,0.18165707153421465,0.0,0.4444444444444444
dorne,0.10835538457981729,0.0,0.1111111111111111
stormlands,1.1102230246251568e-16,0.0,0.2222222222222222
