node,eigenvector,betweenes,degree
joffrey,0.5963781718529227,0.16974789915966387,0.14285714285714285
dorne,0.5963754431338679,0.0,0.02857142857142857
robert,0.5372796356913968,0.0033613445378151263,0.05714285714285714
lady,3.3128476005507774e-06,0.21176470588235297,0.14285714285714285
kingslayer,2.023021824833017e-06,0.033613445378151266,0.05714285714285714
littlefinger,1.860833683790436e-06,0.033613445378151266,0.05714285714285714
sansa,1.6998982694455978e-06,0.033613445378151266,0.08571428571428572
desmond,1.6993607025450604e-06,0.0,0.02857142857142857
podrick,1.6993599527774174e-06,0.0,0.02857142857142857
ser,1.6993590823600193e-06,0.0,0.02857142857142857
barristan,1.5314477055694024e-06,0.0033613445378151263,0.05714285714285714
jon,8.468835779363706e-07,0.0,0.02857142857142857
mance,8.46878073578673e-07,0.0,0.02857142857142857
margaery,3.8774291946416495e-07,0.0,0.02857142857142857
jorah,4.894226173890004e-12,0.0,0.02857142857142857
tywin,4.845329821055232e-12,0.0,0.05714285714285714
tyrion,4.843773469977403e-12,0.2554621848739496,0.17142857142857143
locke,4.570137478480855e-12,0.0,0.02857142857142857
petyr,4.395759934486161e-12,0.0,0.02857142857142857
daenerys,4.365170423725139e-12,0.0,0.02857142857142857
ygritte,2.4138976724974256e-12,0.0016806722689075631,0.05714285714285714
brienne,1.1962045770292494e-12,0.0638655462184874,0.05714285714285714
jaime,1.1626755886056698e-12,0.0638655462184874,0.05714285714285714
cersei,1.1051948267466838e-12,0.033613445378151266,0.05714285714285714
varys,4.602395930016361e-13,0.0,0.02857142857142857
bran,-1.1058123274600548e-12,0.0,0.02857142857142857
davos,-1.224464973859085e-12,0.0,0.02857142857142857
steelshanks,-1.6154161341930258e-12,0.0,0.02857142857142857
loras,-2.155661453584145e-12,0.0,0.02857142857142857
missandei,-2.2030595264379604e-12,0.0016806722689075631,0.05714285714285714
arya,-3.0165043533844846e-12,0.0,0.02857142857142857
bolton,-1.588350672541261e-07,0.033613445378151266,0.05714285714285714
hodor,-3.879571634442506e-07,0.0,0.02857142857142857
flea,-4.295869298065468e-07,0.0,0.02857142857142857
dothraki,-7.728957942841565e-07,0.0,0.02857142857142857
kraznys,-7.728985852460489e-07,0.0,0.02857142857142857
