node,eigenvector,betweenes,degree
targaryen,0.9999993474084808,0.016339869281045753,0.1111111111111111
mormont,0.0008078310626686452,0.026143790849673203,0.16666666666666666
tyrell,0.000807831049892908,0.0,0.1111111111111111
lannister,4.4019510353239394e-07,0.1568627450980392,0.3333333333333333
stark,4.401944644965515e-07,0.4575163398692811,0.4444444444444444
cerwyn,4.4018292736562806e-07,0.0,0.05555555555555555
tarly,1.2413855536924635e-11,0.0,0.05555555555555555
thorne,1.241367190955797e-11,0.0,0.05555555555555555
bolton,1.2051662343188658e-11,0.13289760348583876,0.2777777777777778
clegane,2.147597717554269e-16,0.0,0.05555555555555555
arryn,1.3877787807814457e-16,0.0,0.05555555555555555
greyjoy,-2.0816681711721688e-17,0.0,0.05555555555555555
hunt,-2.498001805406602e-16,0.0,0.05555555555555555
baelish,-4.2351555350019165e-16,0.38779956427015255,0.4444444444444444
frey,-5.111657015644378e-16,0.0,0.05555555555555555
baratheon,-3.6160061508348447e-13,0.2734204793028323,0.38888888888888884
whent,-3.618664707161336e-13,0.0,0.05555555555555555
royce,-3.6206313041631833e-13,0.0,0.05555555555555555
martell,-3.6236284061729795e-13,0.0,0.05555555555555555
